Phase,Step,Task,"Frontend URL","Login As",Status,Notes
"",5.2,"Create reporting period FY 2024 — Alamein","/carbon/reporting/periods","ahmed",,
"",5.3,"Mark FY 2024 — Alamein as verified","/carbon/verification","ahmed",,
"","","","","",,
"PHASE 6 — CROSS-CUTTING","6.1a","RBAC: alamein.transport sees only M6,M7","/carbon/my-data","alamein.transport",,
"",6.1b,"RBAC: alamein.hotels sees only M8,M9,M10","/carbon/my-data","alamein.hotels",,
"",6.1c,"RBAC: alamein.medical sees M1,M2,M11-M15","/carbon/my-data","alamein.medical",,
"",6.1d,"RBAC: alamein.finance sees M3,M4,M5","/carbon/my-data","alamein.finance",,
"",6.1e,"RBAC: alamein.admin sees ALL 15 modules","/carbon/my-data","alamein.admin",,
"",6.2a,"L1: Trust (DQ gauge) + Impact (SBTi) + Activity tabs all render","/carbon/my-data","any",,
"",6.2b,"L2: Health + Lineage + Governance + Activity tabs all render","/carbon/my-data/:moduleId","any",,
"",6.2c,"L3: Row Context + Fields&Qual + Evidence + Calculations tabs render","/carbon/my-data/:m/:tableId","any",,
"",6.2d,"L4: DQ Metrics + Lineage + Related tabs all render","/carbon/my-data/row/:tableId/:rowId","any",,
"",6.2e,"Gear icon works on ALL 4 levels (show/hide tabs)","All L1-L4 pages","any",,
"",6.3a,"Create a new row via Add Row button","L3 Data Entry","any",,
"",6.3b,"Edit an existing row → changes persist","L3 Data Entry","any",,
"",6.3c,"Delete a row → verify it is gone","L3 Data Entry","any",,
"",6.3d,"Bulk Import CSV (download template first)","L3 Data Entry","any",,
"",6.3e,"Export selected rows to CSV","L3 Data Entry","any",,
"",6.4a,"L1→L2→L3→L4 breadcrumb is complete","All levels","any",,
"",6.4b,"Back button works at each level","All levels","any",,
"",6.4c,"Browser tab title shows correct page name","All levels","any",,
"",6.4d,"Direct URL navigation works (paste deep link)","Any","any",,
"",6.5a,"Every tab on every page renders (no blank panels)","All L1-L4","any",,
"",6.5b,"Tab tooltips appear on hover with descriptions","All L1-L4","any",,
"","","","","",,
"PHASE 7 — BUG BASELINE","7.1","P0-1: L3 browser tab title says Table Data (not blank)","/carbon/my-data/:m/:tableId","any",,
"",7.2,"P1-2: L2 subtitle row count matches grid (not 0 rows but 48 shown)","/carbon/my-data/:moduleId","any",,
"",7.3,"P1-3: L4 breadcrumb includes module + table names","/carbon/my-data/row/:t/:r","any",,
"",7.4,"P1-4: History tab shows meaningful entries","L4 Row Detail","any",,
"",7.5,"P2-1: L1 Scope/Status dropdowns open on click","/carbon/my-data","any",,
"","","","","",,
"REFERENCE — MODULE LIST","","Create all 15 at /catalog/products","","",,
"","M1","Medicine — Diesel Generators | Scope 1 | College of Medicine","","",,
"","M2","Medicine — Electricity | Scope 2 | College of Medicine","","",,
"","M3","Finance — Electricity | Scope 2 | Financial Affairs","","",,
"","M4","Finance — Office Supplies | Scope 3 | Financial Affairs","","",,
"","M5","Finance — Medical Procurement | Scope 3 | Financial Affairs","","",,
"","M6","Transport — Fleet Fuel | Scope 1 | Transportation","","",,
"","M7","Transport — Staff Travel | Scope 3 | Transportation","","",,
"","M8","Hotels — Electricity | Scope 2 | Student Hotels — Sakan Masr","","",,
"","M9","Hotels — Chilled Water | Scope 2 | Student Hotels — Sakan Masr","","",,
"","M10","Hotels — Water | Scope 3 | Student Hotels — Sakan Masr","","",,
"","M11","Hospital — Diesel Generators | Scope 1 | Educational Hospital","","",,
"","M12","Hospital — Medical Gases | Scope 1 | Educational Hospital","","",,
"","M13","Hospital — HVAC Refrigerants | Scope 1 | Educational Hospital","","",,
"","M14","Hospital — Electricity | Scope 2 | Educational Hospital","","",,
"","M15","Hospital — Water | Scope 3 | Educational Hospital","","",,
"","","","","",,
"REFERENCE — TABLE+FIELD LIST","","Create all 15 at /schema-admin/table-manager","","",,
"","T1 med_gen_log","fields: period_month(date) generator_id(string) diesel_liters(number) runtime_hours(number) purpose(string)","","",,
"","T2 med_electricity","fields: period_month(date) building_id(string) consumption_kwh(number) meter_id(string) cost_egp(number)","","",,
"","T3 finance_electricity","fields: period_month(date) building_id(string) consumption_kwh(number) meter_id(string) cost_egp(number)","","",,
"","T4 office_supplies","fields: period_month(date) paper_reams(number) paper_type(string) supplier(string) cost_egp(number)","","",,
"","T5 med_procurement","fields: period_month(date) item_name(string) category(string) cost_usd(number) supplier(string)","","",,
"","T6 fleet_fuel_log","fields: period_month(date) vehicle_count(number) gasoline_liters(number) diesel_liters(number) total_cost_egp(number) supplier(string)","","",,
"","T7 staff_travel","fields: period_month(date) staff_name(string) destination(string) distance_km(number) flight_class(string) cost_egp(number)","","",,
"","T8 hotels_electricity","fields: period_month(date) building_id(string) consumption_kwh(number) meter_id(string) cost_egp(number)","","",,
"","T9 hotels_chilled_water","fields: period_month(date) meter_id(string) consumption_tr(number) building_id(string)","","",,
"","T10 hotels_water","fields: period_month(date) building_id(string) consumption_m3(number) meter_id(string)","","",,
"","T11 hospital_gen_log","fields: period_month(date) generator_id(string) diesel_liters(number) runtime_hours(number) purpose(string)","","",,
"","T12 medical_gas_log","fields: period_month(date) gas_type(string) quantity_kg(number) department(string) purpose(string)","","",,
"","T13 hvac_refrigerant_log","fields: period_month(date) unit_id(string) r410a_kg(number) service_type(string) technician(string)","","",,
"","T14 hospital_electricity","fields: period_month(date) building_id(string) consumption_kwh(number) meter_id(string) cost_egp(number)","","",,
"","T15 hospital_water","fields: period_month(date) building_id(string) consumption_m3(number) meter_id(string)","","",,
"","","","","",,
"REFERENCE — CALC RULES","","Create all 14 at /carbon/admin/rules","","",,
"","CR1","med_electricity.consumption_kwh × EGY_GRID_2024","","",,
"","CR2","finance_electricity.consumption_kwh × EGY_GRID_2024","","",,
"","CR3","hotels_electricity.consumption_kwh × EGY_GRID_2024","","",,
"","CR4","hospital_electricity.consumption_kwh × EGY_GRID_2024","","",,
"","CR5","med_gen_log.diesel_liters × DIESEL_STATIONARY","","",,
"","CR6","hospital_gen_log.diesel_liters × DIESEL_STATIONARY","","",,
"","CR7","fleet_fuel_log.gasoline_liters × GASOLINE_EG","","",,
"","CR8","hotels_chilled_water.consumption_tr × CHILLED_WATER_EG","","",,
"","CR9","hotels_water.consumption_m3 × WATER_EG","","",,
"","CR10","hospital_water.consumption_m3 × WATER_EG","","",,
"","CR11","office_supplies.paper_reams × PAPER_WASTE_EG","","",,
"","CR12","staff_travel.distance_km × FLIGHT_SHORT_EG","","",,
"","CR13","med_procurement.cost_usd × PROCUREMENT_GEN","","",,
"","CR14","medical_gas_log.quantity_kg × N2O_GWP","","",,
